Designation,EmpID,Division_ID,Tenure_in_org_in_months,Gross_Pay,Net_Pay,Deduction,Deduction_percentage
Software Engineer.Senior II.,16432,93,48,224872,86978,137894,61.32
Software Engineer.Senior II.,17486,34,39,240627,146150,94477,39.26
Software Engineer.Senior II.,15393,42,55,213898,111248,102650,47.99
Software Engineer.Senior II.,16712,42,45,262968,205241,57727,21.95
Software Engineer.Senior II.,14328,96,61,239817,140110,99707,41.58
Software Engineer.Senior II.,16239,93,48,224636,112244,112392,50.03
Software Engineer.Senior II.,10733,43,72,188621,125669,62952,33.37
Software Engineer.Senior II.,15340,105,55,265121,157839,107282,40.47
Software Engineer.Senior II.,18767,104,35,212345,132864,79481,37.43
Software Engineer.Senior II.,17637,117,39,270853,156389,114464,42.26
Software Engineer.Senior II.,10881,42,17,266879,152809,114070,42.74
Software Engineer.Senior II.,8384,106,87,239865,143314,96551,40.25
Software Engineer.Senior II.,12123,106,64,235809,143011,92798,39.35
Software Engineer.Senior II.,17178,151,41,284667,149463,135204,47.5
Software Engineer.Senior II.,15300,122,56,275196,154496,120700,43.86
Software Engineer.Senior II.,8814,82,84,263678,150910,112768,42.77
Software Engineer.Senior II.,19791,37,29,289615,212855,76760,26.5
Software Engineer.Senior II.,17438,37,40,291163,198861,92302,31.7
Software Engineer.Senior II.,19091,82,33,321483,173112,148371,46.15
Software Engineer.Senior II.,7851,34,91,213584,137552,76032,35.6
Software Engineer.Senior II.,11247,93,69,242336,139685,102651,42.36
Software Engineer.Senior II.,18102,82,37,251152,143346,107806,42.92
Software Engineer.Senior II.,11836,106,66,226285,133623,92662,40.95
Software Engineer.Senior II.,8140,43,84,220212,132264,87948,39.94
Software Engineer.Senior II.,17941,37,38,257788,167974,89814,34.84
Software Engineer.Senior II.,16522,34,47,205736,137082,68654,33.37
Software Engineer.Senior II.,22770,63,8,249933,88691,161242,64.51
Software Engineer.Senior II.,8135,43,82,199090,160417,38673,19.42
Software Engineer.Senior II.,21493,47,17,283287,171504,111783,39.46
Software Engineer.Senior II.,16360,28,48,211092,133002,78090,36.99
Software Engineer.Senior II.,14290,106,61,263470,143997,119473,45.35
Software Engineer.Senior II.,21381,42,18,296225,218884,77341,26.11
Software Engineer.Senior II.,12023,43,64,208756,144277,64479,30.89
Software Engineer.Senior II.,20192,42,26,241207,156140,85067,35.27
Software Engineer.Senior II.,6003,104,108,265008,101488,163520,61.7
Software Engineer.Senior II.,15325,34,55,216690,188751,27939,12.89
Software Engineer.Senior II.,17479,34,39,244970,184211,60759,24.8
Software Engineer.Senior II.,10802,34,39,232906,153452,79454,34.11
Software Engineer.Senior II.,10118,34,75,209297,133851,75446,36.05
Software Engineer.Senior II.,17164,104,42,278879,199729,79150,28.38
Software Engineer.Senior Lead.,21936,43,13,223133,138748,84385,37.82
Software Engineer.Senior Lead.,10660,4,72,157068,147430,9638,6.14
Software Engineer.Senior.,23035,66,6,154048,145909,8139,5.28
Software Engineer.Senior.,22782,43,8,195114,134709,60405,30.96
Software Engineer.Senior.,18267,82,37,176391,124339,52052,29.51
Software Engineer.Senior.,16071,45,49,146181,85642,60539,41.41
Software Engineer.Senior.,20647,42,23,200556,130326,70230,35.02
Software Engineer.Senior.,15855,34,50,156657,119992,36665,23.4
Software Engineer.Senior.,21855,104,13,189889,106288,83601,44.03
Software Engineer.Senior.,18469,82,36,183431,143985,39446,21.5
Software Engineer.Senior.,17404,151,40,188931,143546,45385,24.02
Software Engineer.Senior.,23026,104,6,161500,153110,8390,5.2
Software Engineer.Senior.,14584,43,60,145228,116311,28917,19.91
Software Engineer.Senior.,22399,34,10,191400,122776,68624,35.85
Software Engineer.Senior.,16718,42,45,199892,105598,94294,47.17
Software Engineer.Senior.,10732,43,72,176566,141271,35295,19.99
Software Engineer.Senior.,17635,102,39,158611,122594,36017,22.71
Software Engineer.Senior.,22821,47,8,195114,131417,63697,32.65
Software Engineer.Senior.,9859,43,72,150972,102242,48730,32.28
Software Engineer.Senior.,16629,122,46,150103,105057,45046,30.01
Software Engineer.Senior.,18888,63,34,171731,130019,41712,24.29
Software Engineer.Senior.,21131,102,19,211742,117430,94312,44.54
Software Engineer.Senior.,22285,43,11,196184,131117,65067,33.17
Software Engineer.Senior.,16551,34,11,154733,96240,58493,37.8
Software Engineer.Senior.,20368,34,12,195114,127774,67340,34.51
Software Engineer.Senior.,22984,34,6,249344,235835,13509,5.42
Software Engineer.Senior.,11156,43,69,143817,131707,12110,8.42
Software Engineer.Senior.,14585,117,60,175415,108779,66636,37.99
Software Engineer.Senior.,11223,47,69,183001,90972,92029,50.29
Software Engineer.Senior.,16943,34,26,197254,106675,90579,45.92
Software Engineer.Senior.,22859,93,7,194400,141995,52405,26.96
Software Engineer.Senior.,18367,43,36,159908,73662,86246,53.93
Software Engineer.Senior.,19161,4,33,188617,116297,72320,38.34
Software Engineer.Senior.,22843,42,7,202333,143840,58493,28.91
Software Engineer.Senior.,22309,34,11,194400,151579,42821,22.03
Software Engineer.Senior.,22816,122,8,215200,167585,47615,22.13
Software Engineer.Senior.,18795,93,35,164983,124850,40133,24.33
Software Engineer.Senior.,19731,82,30,180086,141446,38640,21.46
Software Engineer.Senior.,17880,34,11,191400,125293,66107,34.54
Software Engineer.Senior.,11024,34,70,209503,134803,74700,35.66
Software Engineer.Senior.,14610,45,60,157166,108062,49104,31.24
Software Engineer.Senior.,7445,104,95,188788,124462,64326,34.07
Software Engineer.Senior.,16421,34,48,186003,121450,64553,34.71
Software Engineer.Senior.,20088,122,26,181865,138391,43474,23.9
Software Engineer.Senior.,20332,42,25,235405,143963,91442,38.84
Software Engineer.Senior.,19022,63,33,176923,138075,38848,21.96
Software Engineer.Senior.,18887,34,34,163174,127579,35595,21.81
Software Engineer.Senior.,19368,93,32,137280,81012,56268,40.99
Software Engineer.Senior.,21822,43,14,195366,116605,78761,40.31
Software Engineer.Senior.,7324,96,23,162103,100765,61338,37.84
Software Engineer.Senior.,22252,93,11,170600,103637,66963,39.25
Software Engineer.Senior.,15504,43,54,158382,128599,29783,18.8
Software Engineer.Senior.,20525,42,24,246040,147031,99009,40.24
Software Engineer.Senior.,18542,43,36,148211,125892,22319,15.06
Software Engineer.Senior.,21772,76,14,195114,150993,44121,22.61
Software Engineer.Senior.,18590,34,36,171928,109514,62414,36.3
Software Engineer.Senior.,10646,43,72,155555,89161,66394,42.68
Software Engineer.Senior.,21069,43,20,183400,127030,56370,30.74
Software Engineer.Senior.,17179,96,41,192043,120422,71621,37.29
Software Engineer.Senior.,17380,151,40,233541,136281,97260,41.65
Software Engineer.Senior.,18275,43,37,151311,100240,51071,33.75
Software Engineer.Senior.,20474,102,24,166602,125696,40906,24.55
Software Engineer.Senior.,10651,43,72,141215,103495,37720,26.71
Software Engineer.Senior.,10120,34,75,167374,143350,24024,14.35
Software Engineer.Senior.,18727,34,28,177688,102627,75061,42.24
Software Engineer.Senior.,18898,106,34,195495,129384,66111,33.82
Software Engineer.Senior.,22922,104,7,363633,307365,56268,15.47
Software Engineer.Senior.,19661,106,30,15294,12264,3030,19.81
Software Engineer.Senior.,17875,63,38,160844,104250,56594,35.19
Software Engineer.Senior.,14571,42,60,134118,91523,42595,31.76
Software Engineer.Senior.,19506,34,32,205381,135595,69786,33.98
Software Engineer.Senior.,16520,28,9,196532,131468,65064,33.11
Software Engineer.Senior.,16933,63,43,157389,84716,72673,46.17
Software Engineer.Senior.,19890,102,28,170397,134375,36022,21.14
Software Engineer.Senior.,22376,39,10,162667,110644,52023,31.98
Software Engineer.Senior.,22017,42,13,192114,133105,59009,30.72
Software Engineer.Senior.,17980,93,38,171056,135797,35259,20.61
Software Engineer.Senior.,22069,104,12,198818,122783,76035,38.24
Software Engineer.Senior.,21788,47,14,250900,186208,64692,25.78
Software Engineer.Senior.,11999,47,64,185687,115006,70681,38.06
Software Engineer.Senior.,19068,43,33,208169,108763,99406,47.75
Software Engineer.Senior.,22680,34,9,158700,136991,21709,13.68
Software Engineer.Senior.,10119,34,75,162016,116053,45963,28.37
Software Engineer.Senior.,6597,113,101,228296,166795,61501,26.94
Software Engineer.Senior.,18921,93,34,170548,136478,34070,19.98
Software Engineer.Senior.,22689,34,8,212250,127263,84987,40.04
Software Engineer.Senior.,19644,93,30,152607,99193,53414,35
Software Engineer.Senior.,19588,43,31,127201,110769,16432,12.92
Software Engineer.Senior.,8134,104,84,188155,121407,66748,35.48
Solutions Architect II..,18734,126,35,129121,92026,37095,28.73
Solutions Architect II..,21881,25,13,158270,120689,37581,23.74
Solutions Architect II..,6897,128,88,136062,89438,46624,34.27
Solutions Architect II..,21630,125,15,176716,139824,36892,20.88
Solutions Architect II..,20978,124,21,153567,124554,29013,18.89
Solutions Architect II..,18582,124,36,126334,113651,12683,10.04
Solutions Architect II..,18960,130,34,157816,108713,49103,31.11
Solutions Architect II..,18481,25,36,128471,109260,19211,14.95
Solutions Architect II..,15091,126,8,163222,140365,22857,14
Solutions Architect II..,18885,126,34,126536,104011,22525,17.8
Solutions Architect II..,15503,65,40,148654,131798,16856,11.34
Solutions Architect II..,17930,126,38,166280,135226,31054,18.68
Solutions Architect II..,22866,127,7,151337,135148,16189,10.7
Solutions Architect II..,9197,126,81,154834,122558,32276,20.85
Solutions Architect II..,15380,124,55,150338,100237,50101,33.33
Solutions Architect II..,17132,124,42,176041,115232,60809,34.54
Solutions Architect II..,11295,65,69,135063,104901,30162,22.33
Solutions Architect II..,16024,65,49,156759,107115,49644,31.67
Solutions Architect II..,15420,128,55,139270,87887,51383,36.89
Solutions Architect II..,16093,65,49,148974,82159,66815,44.85
Solutions Architect II..,15789,25,50,131726,91262,40464,30.72
Solutions Architect II..,15279,126,56,132702,104691,28011,21.11
Solutions Architect II..,20943,127,21,149353,121722,27631,18.5
Solutions Architect II..,17304,125,41,147007,117736,29271,19.91
Solutions Architect II..,19069,65,33,131769,109312,22457,17.04
Solutions Architect II..,14587,128,60,145308,108075,37233,25.62
Solutions Architect II..,20473,125,24,167996,121443,46553,27.71
Solutions Architect II..,15612,126,52,169141,127485,41656,24.63
Solutions Architect II..,21871,62,13,163650,117098,46552,28.45
Solutions Architect II..,22293,25,11,162667,119255,43412,26.69
Solutions Architect II..,18296,65,37,131181,93076,38105,29.05
Solutions Architect II..,17971,107,38,173915,118903,55012,31.63
Solutions Architect II..,15788,126,50,131185,86820,44365,33.82
Solutions Architect II..,20963,125,21,158500,130833,27667,17.46
Solutions Architect II..,16751,125,45,162399,106700,55699,34.3
Solutions Architect II..,18618,64,35,194241,153119,41122,21.17
Solutions Architect II..,16167,62,49,155214,100100,55114,35.51
Solutions Architect II..,15716,128,51,158260,128290,29970,18.94
Solutions Architect II..,22678,127,9,154337,123676,30661,19.87
Solutions Architect II..,19088,126,33,151863,109867,41996,27.65
Solutions Architect II..,16547,25,46,144322,113536,30786,21.33
Solutions Architect II..,22213,126,11,159667,127561,32106,20.11
Solutions Architect II..,15278,125,56,152548,115740,36808,24.13
Solutions Architect II..,16185,126,49,134523,86634,47889,35.6
Solutions Architect II..,15519,125,54,130294,55160,75134,57.66
Solutions Architect II..,14902,126,58,148573,94043,54530,36.7
Solutions Architect II..,21971,62,13,173667,113818,59849,34.46
Solutions Architect II..,14937,65,58,115908,94275,21633,18.66
Solutions Architect II..,11503,62,67,132568,89836,42732,32.23
Solutions Architect II..,21767,107,14,159097,130415,28682,18.03
Solutions Architect II..,17381,65,40,152140,121400,30740,20.21
Solutions Architect II..,11332,128,68,156414,121192,35222,22.52
Solutions Architect II..,17112,25,42,154986,119339,35647,23
Solutions Architect II..,17175,125,41,150322,122002,28320,18.84
Solutions Architect II..,17929,25,38,150234,110728,39506,26.3
Solutions Architect II..,16724,125,45,175771,113944,61827,35.17
Solutions Architect II..,16558,124,46,156379,100678,55701,35.62
Solutions Architect II..,20672,125,23,168070,114416,53654,31.92
Solutions Architect II..,6447,65,61,120245,100779,19466,16.19
Solutions Architect II..,15764,126,51,127754,108090,19664,15.39
Solutions Architect II..,15649,65,52,129166,111907,17259,13.36
Solutions Architect II..,16840,125,44,140240,93057,47183,33.64
Solutions Architect II..,21501,128,17,159375,129458,29917,18.77
Solutions Architect II..,14586,126,60,135816,107214,28602,21.06
Solutions Architect II..,20671,125,23,172259,126835,45424,26.37
Solutions Architect II..,17356,128,40,141053,89568,51485,36.5
Solutions Architect II..,23047,25,6,112738,106704,6034,5.35
Solutions Architect II..,15712,124,51,154735,147711,7024,4.54
Solutions Architect II.Lead.,19969,127,28,173015,108952,64063,37.03
Solutions Architect..,19470,126,32,114628,78878,35750,31.19
Solutions Architect..,23031,25,6,84317,79735,4582,5.43
Solutions Architect..,16288,125,48,110643,74541,36102,32.63
Solutions Architect..,21972,65,13,81178,47548,33630,41.43
Solutions Architect..,16243,125,48,119582,92272,27310,22.84
Solutions Architect..,18697,125,35,107452,50148,57304,53.33
Solutions Architect..,15742,128,51,102047,85714,16333,16.01
Solutions Architect..,22363,128,10,111598,96327,15271,13.68
Solutions Architect..,17334,125,41,110666,91902,18764,16.96
Solutions Architect..,21718,125,14,126767,91489,35278,27.83
Solutions Architect..,16357,125,48,122099,88438,33661,27.57
Solutions Architect..,21715,125,14,121167,101009,20158,16.64
Solutions Architect..,16489,124,47,114272,94358,19914,17.43
Solutions Architect..,20574,125,23,129391,109871,19520,15.09
Solutions Architect..,18629,65,35,114398,100307,14091,12.32
Solutions Architect..,19764,25,24,95385,81308,14077,14.76
Solutions Architect..,18884,25,34,132569,116172,16397,12.37
Solutions Architect..,22621,126,9,100532,94296,6236,6.2
Solutions Architect..,22190,25,12,113081,96746,16335,14.45
Solutions Architect..,21719,62,14,131914,104867,27047,20.5
Solutions Architect..,16355,128,48,105816,88442,17374,16.42
Solutions Architect..,22607,65,9,97646,85584,12062,12.35
Solutions Architect..,18714,126,35,112067,97704,14363,12.82
Solutions Architect..,21611,125,15,115861,78971,36890,31.84
Solutions Architect..,20654,125,23,124605,95988,28617,22.97
Solutions Architect..,21564,125,16,127467,92210,35257,27.66
Solutions Architect..,18586,65,36,117426,101952,15474,13.18
Solutions Architect..,19024,124,33,126366,106020,20346,16.1
Solutions Architect.Associate.,21376,25,12,58517,53517,5000,8.54
Solutions Architect.Associate.,21352,128,12,73469,58789,14680,19.98
Solutions Architect.Associate.,21818,125,14,85661,68719,16942,19.78
Solutions Architect.Senior II.,6595,125,103,264486,155197,109289,41.32
Solutions Architect.Senior II.,1934,130,143,169588,129805,39783,23.46
Solutions Architect.Senior Lead.,17429,128,40,263207,191013,72194,27.43
Solutions Architect.Senior Lead.,7025,65,92,203468,161742,41726,20.51
Solutions Architect.Senior Lead.,8806,65,84,222019,132237,89782,40.44
Solutions Architect.Senior Lead.,14722,126,59,252589,189388,63201,25.02
Solutions Architect.Senior.,23023,25,6,232628,220380,12248,5.27
Solutions Architect.Senior.,16476,125,47,222235,141607,80628,36.28
Solutions Architect.Senior.,8807,128,84,242464,146727,95737,39.49
Solutions Architect.Senior.,16311,125,48,218041,168818,49223,22.58
Solutions Architect.Senior.,10138,126,75,202840,141970,60870,30.01
Solutions Architect.Senior.,8787,125,84,204752,140899,63853,31.19
Solutions Architect.Senior.,6919,126,28,226288,168019,58269,25.75
Solutions Architect.Senior.,15975,25,50,249868,184772,65096,26.05
Solutions Architect.Senior.,15342,25,55,364137,306221,57916,15.91
Solutions Architect.Senior.,15791,25,50,225695,122631,103064,45.67
Solutions Architect.Senior.,11122,125,70,232397,138681,93716,40.33
Solutions Architect.Senior.,9869,126,77,236285,172691,63594,26.91
Solutions Architect.Senior.,16209,125,48,213420,170588,42832,20.07
Solutions Architect.Senior.,16223,25,48,240900,180528,60372,25.06
Solutions Architect.Senior.,7317,125,40,736,736,0,0
Solutions Engineer II..,19778,19,29,212250,157576,54674,25.76
Solutions Engineer.Senior.,6408,90,18,297840,195107,102733,34.49
Strategic Sales Director..,2840,20,190,634733,298353,336380,53
Supervisor..Help Desk,14829,46,58,237806,152980,84826,35.67
Supervisor..Help Desk,8328,46,87,211594,95281,116313,54.97
Support Delivery Manager II..,17935,13,38,348617,268364,80253,23.02
Support Delivery Manager II..,18243,13,37,223968,128485,95483,42.63
Support Delivery Manager..,22783,13,8,264109,174542,89567,33.91
Support Delivery Manager..,21849,13,13,260000,167460,92540,35.59
Support Delivery Manager..,21581,13,15,299277,166456,132821,44.38
Support Delivery Manager..,22300,13,11,274165,222823,51342,18.73
Support Delivery Manager..,22988,13,6,297127,281601,15526,5.23
Support Delivery Manager.Senior.,5137,13,17,263401,177445,85956,32.63
Support Delivery Specialist..,20077,13,26,190219,150262,39957,21.01
Support Delivery Specialist..,14731,3,59,139558,91397,48161,34.51
Support Delivery Specialist..,20117,13,26,215214,140492,74722,34.72
System Operations Engineer II..,22157,105,12,119485,93811,25674,21.49
System Operations Engineer..,16337,118,48,75149,69688,5461,7.27
System Operations Engineer..,22434,118,10,86283,80120,6163,7.14
System Operations Engineer..,20577,105,23,121984,99332,22652,18.57
System Operations Engineer.Senior II Lead.,15743,122,51,235319,156658,78661,33.43
System Operations Engineer.Senior II Lead.,19939,101,28,229495,127616,101879,44.39
System Operations Engineer.Senior II.,19645,42,30,228399,132665,95734,41.92
System Operations Engineer.Senior II.,21839,42,13,252993,146332,106661,42.16
System Operations Engineer.Senior Lead.,9325,105,80,196804,158729,38075,19.35
System Operations Engineer.Senior.,19915,101,28,160981,130332,30649,19.04
System Operations Engineer.Senior.,15388,105,43,140477,96209,44268,31.51
System Operations Engineer.Senior.,22844,42,7,183467,154289,29178,15.9
Systems Administrator II..,9897,46,77,143729,94825,48904,34.03
Systems Administrator II..UNIX,15817,46,50,148610,121969,26641,17.93
Systems Administrator II..UNIX,10637,46,49,131324,103423,27901,21.25
Systems Administrator II..UNIX,19967,46,28,128783,108663,20120,15.62
Systems Administrator II..UNIX,12161,46,49,135338,80778,54560,40.31
Systems Administrator II..UNIX,20191,46,26,166817,128317,38500,23.08
Systems Administrator II..Windows,14516,46,48,149739,122371,27368,18.28
Systems Administrator II..Windows,17686,46,39,168432,134895,33537,19.91
Systems Administrator II..Windows,14429,46,61,136607,94665,41942,30.7
Systems Administrator..,21067,46,9,114685,109277,5408,4.72
Systems Administrator..,19579,46,31,78565,54393,24172,30.77
Systems Administrator..Windows,22987,46,6,143988,135858,8130,5.65
Systems Administrator..Windows,19605,46,31,121840,101419,20421,16.76
Systems Administrator.Senior Lead.UNIX,19192,46,32,237438,165588,71850,30.26
Systems Administrator.Senior Lead.UNIX,18269,46,37,169716,105074,64642,38.09
Systems Administrator.Senior Lead.UNIX,8237,46,88,247164,153815,93349,37.77
Systems Administrator.Senior Lead.Windows,19119,46,33,210834,165726,45108,21.4
Systems Administrator.Senior.UNIX,7267,46,47,199323,154035,45288,22.72
Systems Administrator.Senior.UNIX,17000,46,43,233796,175536,58260,24.92
Systems Administrator.Senior.Windows,5987,46,104,195250,149257,45993,23.56
Systems Engineer II..,10654,37,72,146361,93547,52814,36.08
Systems Engineer II..,23029,37,6,122269,115658,6611,5.41
Systems Engineer..,11881,116,59,122568,92080,30488,24.87
Systems Engineer..,16401,63,48,104810,74184,30626,29.22
Systems Engineer..,20075,63,26,108840,90268,18572,17.06
Systems Engineer..,22310,63,11,102560,89658,12902,12.58
Systems Engineer..,17903,46,38,135772,110641,25131,18.51
Systems Engineer..,18094,120,14,76367,65104,11263,14.75
Systems Engineer.Associate.,20449,105,24,59872,30791,29081,48.57
Systems Engineer.Associate.,22025,120,12,74457,61527,12930,17.37
Systems Engineer.Associate.,21921,120,13,60500,53822,6678,11.04
Systems Engineer.Principal.,17108,37,42,312250,220533,91717,29.37
Systems Engineer.Principal.,15516,37,54,223424,167029,56395,25.24
Systems Engineer.Senior.,9100,46,82,249559,184711,64848,25.99
Systems Engineer.Senior.,22354,37,10,249933,124993,124940,49.99
Systems Engineer.Senior.,23048,37,6,156501,148306,8195,5.24
Systems Engineer.Senior.,18589,37,36,230869,178059,52810,22.87
Systems Engineer.Senior.,18863,37,34,232542,137455,95087,40.89
Systems Engineer.Senior.,22998,46,6,299358,284242,15116,5.05
Systems Support Engineer II..,22552,37,9,114591,77415,37176,32.44
Systems Support Engineer II..,17861,76,38,106812,91975,14837,13.89
Systems Support Engineer II..,18301,82,37,104129,75363,28766,27.63
Systems Support Engineer II..,22727,76,8,106933,89377,17556,16.42
Systems Support Engineer II..,16164,76,49,97847,70042,27805,28.42
Systems Support Engineer II..,19559,76,31,87312,75978,11334,12.98
Systems Support Engineer II..,16019,76,49,94347,72214,22133,23.46
Systems Support Engineer..,19459,76,32,81085,63511,17574,21.67
Systems Support Engineer..,22905,113,7,125795,120628,5167,4.11
Systems Support Engineer.Senior II Lead.,7946,76,90,201224,94933,106291,52.82
Systems Support Engineer.Senior II Lead.,7668,76,93,240056,148007,92049,38.34
Systems Support Engineer.Senior II Lead.,6294,105,108,191108,130136,60972,31.9
Systems Support Engineer.Senior II Lead.,7268,76,96,232980,138137,94843,40.71
Systems Support Engineer.Senior II Lead.,4160,82,148,263158,161224,101934,38.73
Systems Support Engineer.Senior II.,15298,76,56,222380,168702,53678,24.14
Systems Support Engineer.Senior II.,11225,82,69,233475,146453,87022,37.27
Systems Support Engineer.Senior II.,11329,76,68,233239,174820,58419,25.05
Systems Support Engineer.Senior Lead.,16411,37,48,174089,107083,67006,38.49
Systems Support Engineer.Senior.,17103,76,42,146703,119844,26859,18.31
Systems Support Engineer.Senior.,18896,76,34,138934,114656,24278,17.47
Systems Support Engineer.Senior.,14482,76,60,166223,110286,55937,33.65
Systems Support Engineer.Senior.,14323,105,61,185842,118536,67306,36.22
Systems Support Engineer.Senior.,11998,76,64,176492,115154,61338,34.75
Talent Sourcing and Research Specialist II..,17788,133,17,128628,104367,24261,18.86
Talent Sourcing and Research Specialist II..,19748,133,10,104133,94167,9966,9.57
Talent Sourcing and Research Specialist II..,17837,133,17,124210,104759,19451,15.66
Technical Account Manager II..,21091,1,20,184904,149027,35877,19.4
Technical Account Manager II..,18696,1,35,183865,139469,44396,24.15
Technical Account Manager..,20362,1,25,133673,107065,26608,19.91
Technical Account Manager..,18860,1,34,140609,95968,44641,31.75
Technical Account Manager..,19949,91,28,148796,118096,30700,20.63
Technical Account Manager.Senior.,6869,1,100,115843,113844,1999,1.73
Technical Consultant II..,20759,91,22,212106,162244,49862,23.51
Technical Consultant..,9237,91,81,125949,104992,20957,16.64
Technical Enablement Strategist..,7599,70,93,183606,143616,39990,21.78
Technical Enablement Strategist.Senior.,6216,70,108,279962,202313,77649,27.74
Technical Project Manager II..,9356,25,79,154535,124097,30438,19.7
Technical Project Manager II..,21419,137,17,155524,130436,25088,16.13
Technical Project Manager II..,11100,21,10,163222,137463,25759,15.78
Technical Project Manager II..,15819,21,50,163222,144268,18954,11.61
Technical Project Manager II..,7684,25,93,166308,122124,44184,26.57
Technical Project Manager II..,7305,21,17,166565,132665,33900,20.35
Technical Project Manager II..,9373,21,79,187260,143000,44260,23.64
Technical Project Manager II..,15301,137,56,190281,150835,39446,20.73
Technical Project Manager II..,16733,25,45,164949,124247,40702,24.68
Technical Project Manager II..,21116,137,20,239957,189697,50260,20.95
Technical Project Manager II..,11046,21,70,154351,98569,55782,36.14
Technical Project Manager II..,22179,137,12,164239,135594,28645,17.44
Technical Project Manager II..,16138,25,49,138925,91470,47455,34.16
Technical Project Manager II..,15263,137,56,150184,125232,24952,16.61
Technical Project Manager II..,15402,32,55,180595,110433,70162,38.85
Technical Project Manager II..,22986,25,6,418587,407005,11582,2.77
Technical Project Manager II..,18147,137,37,153655,104066,49589,32.27
Technical Project Manager II..,10659,21,72,155272,98298,56974,36.69
Technical Project Manager.Senior Lead.,12278,25,63,273914,181992,91922,33.56
Technical Project Manager.Senior Lead.,16544,25,46,251829,177961,73868,29.33
Technical Project Manager.Senior.,5737,33,117,223622,136572,87050,38.93
Technical Project Manager.Senior.,15977,107,33,229266,174004,55262,24.1
Technical Project Manager.Senior.,15303,32,56,233004,150514,82490,35.4
Technical Project Manager.Senior.,16409,54,48,216165,169651,46514,21.52
Technical Project Manager.Senior.,11169,33,69,240797,183559,57238,23.77
Technical Solutions Engineer II..,16438,14,48,137514,120402,17112,12.44
Technical Solutions Engineer II..,10661,2,72,158238,127918,30320,19.16
Technical Solutions Engineer II..,16354,2,48,157715,129551,28164,17.86
Technical Solutions Engineer II..,14635,3,60,186602,129486,57116,30.61
Technical Solutions Engineer II..,16229,12,48,149867,121039,28828,19.24
Technical Solutions Engineer II..,19182,3,33,126448,107056,19392,15.34
Technical Solutions Engineer II..,10662,3,72,128250,107608,20642,16.1
Technical Solutions Engineer II..,15648,2,52,124936,109041,15895,12.72
Technical Solutions Engineer II..,15763,2,51,136710,120438,16272,11.9
Technical Solutions Engineer II..,15635,3,52,151901,126694,25207,16.59
Technical Solutions Engineer II..,18637,2,35,152784,118903,33881,22.18
Technical Solutions Engineer II..,6358,2,106,152445,96761,55684,36.53
Technical Solutions Engineer II..,15630,2,52,168590,133027,35563,21.09
Technical Solutions Engineer II..,16230,3,48,122087,105785,16302,13.35
Technical Solutions Engineer II..,16521,8,47,174171,107224,66947,38.44
Technical Solutions Engineer II..,15260,2,56,152434,128631,23803,15.62
Technical Solutions Engineer II..,16245,3,48,121771,96914,24857,20.41
Technical Solutions Engineer II..,14782,14,59,129672,108135,21537,16.61
Technical Solutions Engineer II..,18889,3,34,142747,118850,23897,16.74
Technical Solutions Engineer II..,16241,2,48,138604,111990,26614,19.2
Technical Solutions Engineer II..,18779,2,35,152143,126193,25950,17.06
Technical Solutions Engineer II..,20360,3,25,188956,148604,40352,21.36
Technical Solutions Engineer II..,15057,3,57,180898,126725,54173,29.95
Technical Solutions Engineer II..,16604,2,46,168105,109937,58168,34.6
Technical Solutions Engineer II.Lead.,17276,2,41,177634,116894,60740,34.19
Technical Solutions Engineer II.Lead.,14834,2,58,172232,118958,53274,30.93
Technical Solutions Engineer II.Lead.,17927,9,38,164465,138662,25803,15.69
Technical Solutions Engineer II.Lead.,16999,3,43,163872,108626,55246,33.71
Technical Solutions Engineer II.Lead.,16514,2,47,189750,139842,49908,26.3
Technical Solutions Engineer II.Lead.,12060,3,64,175595,113132,62463,35.57
Technical Solutions Engineer..,17661,2,39,112522,97554,14968,13.3
Technical Solutions Engineer..,21773,3,14,93100,83849,9251,9.94
Technical Solutions Engineer..,18759,14,35,110977,91115,19862,17.9
Technical Solutions Engineer..,22996,2,6,120239,113834,6405,5.33
Technical Solutions Engineer..,21968,2,13,122301,82474,39827,32.56
Technical Solutions Engineer..,22394,2,10,112646,100092,12554,11.14
Technical Solutions Engineer..,18835,9,34,88934,88734,200,0.22
Technical Solutions Engineer..,18547,9,36,93592,77555,16037,17.14
Technical Solutions Engineer..,18149,9,37,89792,79425,10367,11.55
Technical Solutions Engineer..,16238,2,48,113985,99399,14586,12.8
Technical Solutions Engineer..,22564,2,9,101585,94696,6889,6.78
Technical Solutions Engineer..,22787,2,8,105552,99634,5918,5.61
Technical Solutions Engineer..,22012,8,13,115484,97972,17512,15.16
Technical Solutions Engineer..,17973,2,38,111329,95935,15394,13.83
Technical Solutions Engineer..,18768,2,35,96634,82434,14200,14.69
Technical Solutions Engineer..,16866,14,44,93852,81920,11932,12.71
Technical Solutions Engineer..,16721,2,45,105859,78703,27156,25.65
Technical Solutions Engineer..,23039,3,6,69138,65440,3698,5.35
Technical Solutions Engineer..,20854,2,21,139008,116079,22929,16.49
Technical Solutions Engineer..,22455,2,10,114686,102362,12324,10.75
Technical Solutions Engineer..,21716,2,14,119984,100398,19586,16.32
Technical Solutions Engineer..,22549,2,9,107952,94393,13559,12.56
Technical Solutions Engineer..,22836,2,7,119552,114654,4898,4.1
Technical Solutions Engineer..,17670,2,39,92161,81918,10243,11.11
